Batch,Winning Tries,Time-Limit Wins,Total Won,Total Lost,Total Profit,Win Rate (%),Avg Profit per Win,Avg Spins per Try,Avg Rushes per Try
1,6,6,119,-180,-61,50,19.8333,35,0.166667
2,8,8,531,-120,411,66.6667,66.375,34,0.416667
3,9,9,247,-90,157,75,27.4444,35.5,0.25
4,6,6,188,-180,8,50,31.3333,34.5,0.25
5,8,8,132,-120,12,66.6667,16.5,35.9167,0.0833333
6,8,8,156,-120,36,66.6667,19.5,34.5,0.166667
7,5,5,235,-210,25,41.6667,47,35,0.25
8,4,3,361,-240,121,33.3333,90.25,33.0833,0.416667
9,7,7,88,-150,-62,58.3333,12.5714,34.9167,0.0833333
10,10,10,150,-60,90,83.3333,15,35.5,0.0833333
